 11_TP10_1	 11_TP10_2	 11_TP10_3	 11_TP11_1	 11_TP11_2	 11_TP11_3	 11_TP12_1	 11_TP12_2	 11_TP12_3	 11_TP14_1	 11_TP14_2	 11_TP14_3	 11_TP15_1	 11_TP15_2	 11_TP15_3	 11_TP16_1	 11_TP16_2	 11_TP16_3	 11_TP5_1	 11_TP5_2	 11_TP5_3	 11_TP6_1	 11_TP6_2	 11_TP6_3	 11_TP7_1	 11_TP7_2	 11_TP7_3	 11_TP9_1	 11_TP9_2	 11_TP9_3	 12_TP10_1	 12_TP10_2	 12_TP10_3	 12_TP11_1	 12_TP11_2	 12_TP11_3	 12_TP12_1	 12_TP12_2	 12_TP12_3	 12_TP14_1	 12_TP14_2	 12_TP14_3	 12_TP15_1	 12_TP15_2	 12_TP15_3	 12_TP16_1	 12_TP16_2	 12_TP16_3	 12_TP5_1	 12_TP5_2	 12_TP5_3	 12_TP6_1	 12_TP6_2	 12_TP6_3	 12_TP7_1	 12_TP7_2	 12_TP7_3	 12_TP9_1	 12_TP9_2	 12_TP9_3	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T
#!{C:Grouping1}11_TP10	11_TP10	11_TP10	11_TP11	11_TP11	11_TP11	11_TP12	11_TP12	11_TP12	11_TP14	11_TP14	11_TP14	11_TP15	11_TP15	11_TP15	11_TP16	11_TP16	11_TP16	11_TP5	11_TP5	11_TP5	11_TP6	11_TP6	11_TP6	11_TP7	11_TP7	11_TP7	11_TP9	11_TP9	11_TP9	12_TP10	12_TP10	12_TP10	12_TP11	12_TP11	12_TP11	12_TP12	12_TP12	12_TP12	12_TP14	12_TP14	12_TP14	12_TP15	12_TP15	12_TP15	12_TP16	12_TP16	12_TP16	12_TP5	12_TP5	12_TP5	12_TP6	12_TP6	12_TP6	12_TP7	12_TP7	12_TP7	12_TP9	12_TP9	12_TP9																	
16.1245460510254	16.1079330444336	0	0	16.2422618865967	0	16.1285381317139	16.1500835418701	0	16.3991775512695	0	0	16.273832321167	16.0931491851807	16.7222747802734	16.3231601715088	0	16.3064346313477	0	0	15.9643630981445	16.0110969543457	0	0	0	0	0	16.1014823913574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	4	4	5.6	5.6	5.6	97.25	0	23.026	1861300	8	Cre01.g004350.t1.2	Cre01.g004350.t1.2	15
17.6688575744629	0	0	18.0238838195801	0	17.5647296905518	16.5630168914795	17.5374603271484	17.6563415527344	17.1524429321289	0	17.5024585723877	17.7546005249023	17.3478469848633	17.2261867523193	17.2230777740479	17.2524814605713	17.2843723297119	17.738395690918	0	0	0	17.8251323699951	0	0	17.8169708251953	0	18.0773887634277	17.6630306243896	0	18.0747261047363	17.7980422973633	0	18.0594921112061	17.658992767334	17.4239044189453	18.1131935119629	17.6897525787354	17.979190826416	18.1237373352051	17.9183502197266	17.6759014129639	0	17.8337421417236	18.2451171875	18.0410499572754	0	18.1371612548828	18.5862236022949	0	18.1922454833984	17.7151851654053	0	0	0	17.5401878356934	0	17.5126781463623	0	18.2463226318359				3	3	3	10	10	10	29.807	0.0010504	21.919	8197600	55	Cre01.g004450.t1.2	Cre01.g004450.t1.2	17
18.873966217041	18.7197704315186	18.8007926940918	19.1945304870605	19.0231533050537	18.8558044433594	19.067892074585	19.117130279541	19.0016002655029	19.449821472168	19.0833759307861	18.96044921875	18.9504299163818	19.1372604370117	18.9606742858887	19.1390361785889	19.27610206604	18.769495010376	19.0784320831299	18.8608436584473	18.9054508209229	19.0919208526611	19.1584968566895	18.7939205169678	19.2105045318604	18.8762168884277	18.9387359619141	18.8287010192871	19.0043468475342	18.8134994506836	19.7362003326416	18.9188175201416	19.3770198822021	19.8071594238281	19.4424896240234	19.0976409912109	19.938045501709	19.3355350494385	20.2368965148926	19.5932445526123	19.907506942749	19.4806957244873	19.7467021942139	19.7719631195068	19.7635097503662	19.3638229370117	19.2672348022461	19.5611534118652	18.8347606658936	0	19.4715957641602	18.8270874023438	19.6314754486084	19.251371383667	19.7803993225098	19.5618801116943	0	19.1757736206055	19.2209072113037	19.5990886688232				11	11	11	29.6	29.6	29.6	52.803	0	120.97	30274000	188	Cre01.g004500.t1.2	Cre01.g004500.t1.2	18
17.53586769104	0	17.67307472229	17.714916229248	0	17.6993427276611	0	17.6734199523926	17.810396194458	18.5306587219238	18.3427772521973	18.2179775238037	17.9822025299072	18.1449966430664	17.6723155975342	18.4576377868652	18.17942237854	18.1516513824463	17.8600559234619	0	0	17.4829807281494	17.6397647857666	0	17.8271198272705	17.8042316436768	17.7157211303711	0	18.2675552368164	17.4576377868652	0	17.4132804870605	0	0	0	0	0	17.503080368042	18.3441219329834	0	0	0	18.159704208374	0	0	0	0	0	17.0151977539063	0	0	0	0	0	0	17.9301834106445	0	17.6601066589355	0	17.6653213500977				5	5	5	31.7	31.7	31.7	23.603	0	31.958	10147000	39	Cre01.g004900.t1.2	Cre01.g004900.t1.2	19
16.6257095336914	16.9289112091064	16.9664611816406	16.8452453613281	0	16.7178630828857	0	17.305456161499	16.8706302642822	17.4540252685547	17.4972438812256	17.0443096160889	0	0	0	17.2609558105469	17.3380393981934	0	0	16.6761779785156	0	16.6860618591309	17.2832870483398	16.6712093353271	17.3287792205811	17.2048568725586	16.8804683685303	0	0	16.6379261016846	0	0	0	0	17.2544193267822	0	17.5953598022461	0	0	0	17.1495685577393	0	0	0	17.1157341003418	0	0	0	0	0	0	16.4542026519775	0	16.5127258300781	0	16.811149597168	0	0	0	0				2	2	2	10.5	10.5	10.5	24.329	0.0061892	15.879	4898600	94	Cre01.g004950.t1.1	Cre01.g004950.t1.1	20
16.9832611083984	17.0795269012451	17.0185699462891	17.1845645904541	17.2716636657715	17.3699035644531	17.3796653747559	17.324743270874	17.3941440582275	17.627420425415	17.5544986724854	17.3505249023438	17.2976856231689	17.8630847930908	17.5257339477539	17.5979061126709	17.8194675445557	17.9130420684814	16.6930236816406	16.885124206543	16.578784942627	16.7000865936279	17.3166351318359	0	17.2342567443848	17.0830631256104	17.098258972168	17.067497253418	17.2129516601563	16.7087345123291	17.4227542877197	16.9101734161377	0	16.7673301696777	17.3113231658936	0	0	0	16.9933586120605	0	0	0	16.9407730102539	0	16.9853744506836	17.2336006164551	17.3703289031982	16.9430637359619	0	0	17.6040744781494	0	16.9011268615723	0	17.05885887146	17.0617084503174	0	0	17.0909385681152	0				8	8	8	11.8	11.8	11.8	96.717	0	57.93	6845800	60	Cre01.g005050.t1.1	Cre01.g005050.t1.1	21
19.0900344848633	19.1614761352539	18.9079475402832	19.1115894317627	19.4633560180664	18.9268569946289	19.0442295074463	19.1813907623291	18.9265689849854	19.3438835144043	19.3225440979004	19.2157516479492	19.038667678833	18.8038539886475	18.8835144042969	19.2093391418457	19.0270195007324	19.0390949249268	19.1021347045898	19.141658782959	18.5763301849365	19.2877578735352	19.6340141296387	18.9097938537598	18.7267379760742	19.3621101379395	19.0297718048096	19.0972557067871	19.0190582275391	18.7239074707031	18.7837905883789	19.178279876709	19.1663150787354	0	19.709020614624	18.9985179901123	18.9130706787109	19.3371467590332	19.2613697052002	0	19.4681587219238	19.3584880828857	19.2841682434082	19.1790351867676	18.644983291626	0	18.9366664886475	19.1298370361328	19.0555267333984	0	18.8596019744873	18.9838447570801	18.7160892486572	18.4069023132324	18.9142971038818	19.1104679107666	0	19.0421981811523	18.7627964019775	19.2268447875977				7	7	7	31.2	31.2	31.2	48.791	0	57.018	27475000	125	Cre01.g005150.t1.1	Cre01.g005150.t1.1	22
18.2892894744873	18.079683303833	18.1686916351318	18.0737342834473	18.1688385009766	18.1444492340088	18.2496604919434	18.2076244354248	18.0660266876221	17.9256114959717	18.2969245910645	18.2568168640137	18.3249626159668	18.9694709777832	18.4970874786377	18.8684616088867	18.8058071136475	18.9196891784668	18.627347946167	18.1102905273438	18.3361663818359	18.1184234619141	18.2923927307129	18.2665481567383	18.6055946350098	18.5455913543701	18.3939342498779	18.2046661376953	18.7414283752441	18.171236038208	19.0015182495117	18.8851833343506	18.8528518676758	19.3439922332764	18.8876552581787	19.1998825073242	19.6124324798584	18.8592071533203	19.5611724853516	19.483512878418	18.5872135162354	18.6130275726318	18.7568817138672	18.3827075958252	19.2578983306885	18.9896488189697	18.6432933807373	19.0309314727783	18.8168773651123	0	19.4539260864258	18.4159240722656	18.2283020019531	18.6893768310547	19.2628841400146	18.3612327575684	0	19.172456741333	0	19.1841297149658				5	5	5	18.2	18.2	18.2	42.063	0	60.18	20392000	83	Cre01.g006950.t2.1;Cre01.g006950.t1.1	Cre01.g006950.t2.1;Cre01.g006950.t1.1	24
17.6875667572021	0	17.1289806365967	17.7186660766602	0	0	18.1838397979736	18.3733921051025	0	17.67555809021	17.9501457214355	18.1232318878174	17.8754367828369	18.5004367828369	0	18.7009334564209	18.1232833862305	17.9473514556885	18.0839977264404	17.244140625	16.9887065887451	16.7721080780029	17.5174541473389	0	0	0	17.9226531982422	0	18.0994396209717	17.6353778839111	0	17.4812469482422	0	17.4215221405029	17.7182655334473	0	17.7764205932617	17.7759704589844	0	0	17.3042087554932	17.3135375976563	0	17.4274272918701	17.7709484100342	17.9024810791016	0	17.7671375274658	17.1583728790283	0	0	17.8297233581543	17.5217533111572	0	17.5420036315918	17.4254627227783	0	0	0	0				2	2	2	11.7	11.7	11.7	14.7	0.0064464	12.977	10127000	42	Cre01.g007051.t1.2;Cre09.g396400.t1.2;Cre11.g467567.t1.1	Cre01.g007051.t1.2;Cre09.g396400.t1.2;Cre11.g467567.t1.1	25
0	18.0923862457275	0	18.3904972076416	18.0953254699707	18.338171005249	18.5781002044678	0	18.3307075500488	18.1311435699463	18.4740142822266	18.4262409210205	0	18.3509140014648	18.1654071807861	18.3169441223145	0	0	18.0668144226074	0	18.1555595397949	18.1541748046875	18.0963039398193	17.754861831665	0	0	18.1032371520996	17.8422393798828	0	17.9431209564209	17.0239925384521	17.5798320770264	0	17.9631328582764	0	18.7330741882324	17.9227123260498	18.8521213531494	17.0108337402344	0	16.9594593048096	0	17.507345199585	17.5726699829102	0	0	0	17.7967109680176	18.6606636047363	0	17.0798397064209	18.4150562286377	0	17.4218521118164	17.6146812438965	18.215181350708	0	17.9978294372559	0	0				6	6	6	19.1	19.1	19.1	62.264	0	82.119	10629000	81	Cre01.g007700.t1.1	Cre01.g007700.t1.1	27
