"","X.11_TP10_1","X11_TP10_2","X11_TP10_3","X11_TP11_1","X11_TP11_2","X11_TP11_3","X11_TP12_1","X11_TP12_2","X11_TP12_3","X11_TP14_1","X11_TP14_2","X11_TP14_3","X11_TP15_1","X11_TP15_2","X11_TP15_3","X11_TP16_1","X11_TP16_2","X11_TP16_3","X11_TP5_1","X11_TP5_2","X11_TP5_3","X11_TP6_1","X11_TP6_2","X11_TP6_3","X11_TP7_1","X11_TP7_2","X11_TP7_3","X11_TP9_1","X11_TP9_2","X11_TP9_3","X12_TP10_1","X12_TP10_2","X12_TP10_3","X12_TP11_1","X12_TP11_2","X12_TP11_3","X12_TP12_1","X12_TP12_2","X12_TP12_3","X12_TP14_1","X12_TP14_2","X12_TP14_3","X12_TP15_1","X12_TP15_2","X12_TP15_3","X12_TP16_1","X12_TP16_2","X12_TP16_3","X12_TP5_1","X12_TP5_2","X12_TP5_3","X12_TP6_1","X12_TP6_2","X12_TP6_3","X12_TP7_1","X12_TP7_2","X12_TP7_3","X12_TP9_1","X12_TP9_2","X12_TP9_3"
"Cre16.g687900.t1.2",21.0062789916992,21.115213394165,20.9291858673096,20.0939083099365,21.431095123291,21.2271156311035,21.4450588226318,21.1359596252441,21.7369441986084,20.7226734161377,21.6240406036377,21.468168258667,21.5747776031494,21.5842151641846,21.4732322692871,21.1295604705811,21.6743507385254,21.5267372131348,20.3727340698242,21.0245208740234,21.111780166626,20.7260875701904,20.6480770111084,21.2125244140625,20.8641586303711,21.0254669189453,20.9885673522949,21.0258045196533,20.9884986877441,21.307746887207,21.2390556335449,21.1902084350586,21.4334926605225,21.0049095153809,21.3879547119141,20.3413677215576,20.8242321014404,21.3400630950928,18.8063411712646,20.7250900268555,21.0042915344238,20.1607875823975,21.6143665313721,21.3143463134766,21.3658103942871,21.4258308410645,20.2106246948242,21.1891822814941,20.6214942932129,24.0967784940047,21.1383991241455,20.7794055938721,20.9440650939941,20.8355331420898,21.1384620666504,20.3725204467773,24.2630143093561,20.7572727203369,21.3544483184814,20.8496494293213
"Cre16.g688050.t1.1",17.6296977996826,17.9516258239746,17.2761249542236,17.5884227752686,17.9322605133057,17.6837348937988,17.888635635376,17.9819793701172,17.6456871032715,17.5752582550049,17.6920700073242,17.9502601623535,17.5806407928467,17.668025970459,17.7293281555176,17.965389251709,17.7474060058594,17.7760982513428,18.2082443237305,17.1186771392822,17.8856010437012,17.578800201416,17.7056999206543,17.8947467803955,17.9424915313721,17.8324451446533,18.1558055877686,17.7162570953369,18.1487255096436,17.309103012085,17.5349559783936,17.0216083526611,17.3069532465765,17.6007404327393,17.6802368164063,17.8187198638916,17.6574573516846,17.8320732116699,18.6171226501465,0,0,0,17.3420935848089,17.2985820770264,17.4802227020264,0,0,0,0,0,0,0,0,0,0,0,0,18.0844650268555,17.4836902618408,17.5159931182861
"Cre16.g689087.t1.1",0,0,0,0,0,0,17.2116222381592,17.2238606365438,17.1835975646973,0,0,0,17.617769241333,17.5778427124023,18.5927715301514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cre16.g689647.t1.1",16.8400897979736,17.05885887146,16.8388428505741,0,0,0,0,0,0,0,0,0,0,0,0,17.4024124145508,17.5141429901123,17.4556331634521,17.0965099334717,17.0134544372559,16.7588996887207,0,0,0,16.5215854644775,16.5764016593999,16.9678115844727,16.9860731644076,16.995677947998,16.9752216339111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cre16.g690431.t2.1;Cre16.g690431.t1.1",18.8117752075195,19.0951194763184,18.707218170166,18.7804317474365,19.2732810974121,19.1589889526367,19.055685043335,19.1350574493408,19.3216190338135,18.908182144165,19.0520267486572,19.0103969573975,19.1252517700195,19.2429790496826,18.8185939788818,18.5822219848633,18.5670719146729,18.3911685943604,18.54709815979,18.9080047607422,18.9234676361084,18.5570831298828,18.5497703552246,19.1859931945801,18.6660861968994,18.7501239776611,18.2795295715332,18.7833118438721,19.2146835327148,18.942777633667,18.7527408599854,18.6860294342041,18.8486099243164,18.6029167175293,18.6297340393066,18.008975982666,18.6414241790771,18.8155651092529,17.3416919708252,18.881275177002,18.4531021118164,18.6830841524801,18.3345966339111,18.2259044647217,18.3963203430176,18.5397720336914,18.0172653198242,18.6396236419678,18.4982566833496,22.6551641068612,19.0726871490479,18.5322952270508,18.2906398773193,18.8428535461426,18.5750732421875,18.3379096984863,18.9515935977526,18.6044368743896,18.4858531951904,19.1439266204834
"Cre16.g690500.t1.2",18.1812686920166,17.779821395874,18.2430725097656,18.1727504730225,17.6862678527832,17.9781856536865,18.33131980896,18.0724258422852,18.0932121276855,18.3393898010254,18.0953254699707,18.1940746307373,18.3045654296875,18.344425201416,18.1940746307373,18.1409091949463,18.1789855957031,18.1568927764893,18.7638339996338,17.8930282592773,18.3685398101807,18.123384475708,18.2577838897705,18.1140575408936,18.6307640075684,18.229663848877,18.5027313232422,18.4506072998047,18.614933013916,18.042387008667,18.7076892852783,18.1533832550049,18.6598987579346,19.477180480957,18.5665149688721,18.6805458068848,19.0729484558105,18.5137977600098,19.1744823455811,19.1149730682373,18.9676704406738,18.9332408905029,18.6184501647949,18.634952545166,18.9743804931641,19.0008316040039,18.9141216278076,18.8127479553223,18.1679573059082,22.9781470079268,18.809642791748,18.4238624572754,18.4153461456299,18.4920101165771,18.9687671661377,18.3201217651367,21.5623883806279,18.7530670166016,18.4295139312744,18.8810958862305
"Cre16.g691000.t1.2",19.1571388244629,19.5095710754395,19.517915725708,19.1793746948242,20.0926170349121,19.9924468994141,19.8776702880859,19.8429298400879,19.9357471466064,19.7871589660645,19.9477787017822,20.2998332977295,19.5978336334229,19.2771911621094,19.6054496765137,19.7961406707764,19.4839458465576,19.4969520568848,20.3125190734863,19.2037105560303,19.5789661407471,19.4581985473633,19.9227695465088,19.72145652771,19.8720436096191,19.8741474151611,19.4527797698975,19.8021812438965,19.4032859802246,19.4067993164063,19.2949295043945,19.1654567718506,19.3019790649414,18.5151844024658,19.3020668029785,18.7511386871338,19.1874446868896,19.2903690338135,19.1364345550537,19.2095050811768,19.0088119506836,19.119234085083,19.136360168457,19.6885242462158,19.0446014404297,20.2275257110596,19.559398651123,19.5578479766846,19.2168159484863,18.9417203223121,19.3241500854492,19.4185409545898,19.0432682037354,19.0210666656494,19.2728939056396,18.589958190918,22.0379460771438,19.3987636566162,19.3315372467041,19.4034938812256
"Cre16.g691850.t1.2",20.1180686950684,20.303071975708,20.0478000640869,20.1216144561768,20.7553997039795,19.7226905822754,20.121488571167,19.8615570068359,20.5112323760986,20.3369083404541,20.4604396820068,20.525447845459,20.6123428344727,21.2629871368408,20.720588684082,21.121488571167,20.5819664001465,20.5755176544189,19.9735126495361,19.9348831176758,19.9729518890381,19.8108978271484,20.2310485839844,20.2244682312012,20.2126426696777,20.4378662109375,19.9742126464844,20.2060985565186,19.878568649292,20.2953567504883,19.8405666351318,20.2088394165039,19.940055847168,20.1420822143555,20.1671733856201,19.8431148529053,19.886360168457,20.2371311187744,19.7614669799805,19.6835117340088,20.1370868682861,19.9437789916992,19.8523044586182,19.8124504089355,19.8395214080811,20.4176139831543,20.3168334960938,20.2477149963379,20.2763977050781,16.625611770843,20.0316047668457,20.0643424987793,19.6755924224854,19.4608001708984,0,0,0,20.4605407714844,20.3008403778076,19.3808708190918
"Cre16.g692901.t1.1",17.465311050415,17.0129089355469,17.3334178924561,17.2204341888428,16.9565124511719,16.923698425293,16.8300933837891,16.7634449005127,17.1669273376465,17.1634922027588,16.8405818939209,16.9132175445557,16.9088859558105,16.9462661743164,17.0606536865234,0,0,0,17.5414752960205,17.8178462982178,17.6855144500732,17.6983242034912,17.3335056304932,17.6671943664551,17.7516613006592,17.1026725769043,17.1343059539795,17.3908748626709,16.9988765716553,17.3847784614939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6260260170345,18.1987800598145,17.6633777618408,0,0,0,0,0,0
"Cre16.g694850.t1.2",18.6607685089111,18.94260597229,18.5820388793945,19.1085033416748,18.7179985046387,18.8108673095703,18.2631587982178,18.5567836761475,18.5652885437012,18.9514846801758,18.6963901519775,18.7886409759521,19.2076015472412,19.1381359100342,18.9917259216309,18.8903884887695,19.0701999664307,19.1082229614258,18.4334297180176,18.7166919708252,18.5693359375,18.8038845062256,18.425256729126,18.5520610809326,18.4708423614502,18.5713748931885,18.6752815246582,18.596851348877,18.6289157867432,18.2818393707275,18.7005615234375,18.7214673973447,18.6616039276123,18.1975326538086,18.6609420776367,18.4855785369873,17.9004783630371,18.7694625854492,18.295804977417,18.4365653991699,18.6125946044922,18.3714790344238,18.1852436065674,18.2539577484131,18.4941997528076,18.6338539123535,18.7998909214736,18.9418048858643,18.6763153076172,15.0114433390533,18.418643951416,18.4396114349365,18.2578754425049,18.593864440918,18.1427059173584,18.783374786377,13.7693681852084,18.9706516265869,18.769624710083,18.3807239532471
"Cre16.g695050.t1.2",0,0,0,16.0889739990234,15.859486579895,16.7518577575684,16.9793586730957,16.3419189453125,16.4031620025635,16.4162864685059,16.9517402648926,16.6506023406982,0,0,0,16.3296566009521,16.7895336151123,16.7027950286865,0,0,0,0,0,0,16.0583934783936,15.7746324539185,15.8412199020386,15.7929430007935,15.87087059021,15.7936816020537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2830333709717,15.445855140686,15.4897136529849
